Item,Category,References,Qty,Value,Footprint,Manufacturer,MPN,LCSC,Populate,Assembly,Notes
1,PCB,PCB1,1,"Storm Tracker Rev A, 4-layer, nominal 1.0 mm",36.5x69.0mm,Solderable,STORM-TRACKER-REV-A,,Required external,PCB fabrication,"Use reviewed Rev A Gerbers; finish still requires confirmation"
2,Buzzer,BZ1,1,CMT-8530S,Library:CUI_CMT-8530S-SMT,"Same Sky (formerly CUI Devices)",CMT-8530S-SMT-TR,,Yes,Bottom SMT,Passive magnetic transducer
3,Capacitor,"C1,C8,C10,C11,C15,C16,C23,C32",8,100nF,0402,"Samsung Electro-Mechanics",CL05B104KO5NNNC,,Yes,Bottom SMT,General decoupling
4,Capacitor,"C5,C6,C9,C18",4,1uF,0402,Murata Electronics,GRM155R61E105KA12D,,Yes,Bottom SMT,
5,Capacitor,C7,1,22uF,0603,"Samsung Electro-Mechanics",CL10A226MO7JZNC,,Yes,Bottom SMT,
6,Capacitor,"C12,C30,C31",3,"4.7uF 25V",0603,TDK,C1608X5R1E475K080AC,,Yes,Bottom SMT,"Keep 25 V rating for e-paper rails"
7,Capacitor,C13,1,10uF,0402,YAGEO,CC0402MRX5R6BB106,,Yes,Bottom SMT,
8,Capacitor,"C14,C21,C22,C24,C25,C26,C27,C28,C29",9,"1uF 25V",0603,TDK,CGA3E1X7R1E105K080AC,,Yes,Bottom SMT,"Keep 25 V rating for e-paper rails"
9,Capacitor,"C17,C33,C34",3,10uF,0603,Kyocera AVX,06033D106KAT2A,,Yes,Bottom SMT,
10,Capacitor,C19,1,"680pF C0G",0402,Murata Electronics,GCM1555C1H681FA16D,,Yes,Bottom SMT,"Antenna tuning; do not substitute dielectric casually"
11,Capacitor,C20,1,"270pF C0G",0402,Murata Electronics,GRT1555C1H271FA02D,,Yes,Bottom SMT,"Antenna tuning; do not substitute dielectric casually"
12,LED,D1,1,Red,0402,"QT Brightek (QTB)",QBLP595-R-2897,,Yes,Bottom SMT,
13,Diode,"D2,D3,D4,D5",4,MBR0530,SOD-123,"SMC Diode Solutions",MBR0530,C82046,Yes,Bottom SMT,
14,ESD diode,"D6,D7,D8",3,ESD5Z3V3,SOD-523,"Diotec Semiconductor",ESD5Z3V3,,Yes,Bottom SMT,
15,Connector,J1,1,"USB-C USB 2.0 receptacle",GCT_USB4105_TopMnt,GCT,USB4105-GF-A,,Yes,Bottom SMT,
16,Connector,J2,1,"2-pin JST-PH battery",JST_PH_S2B-PH-SM4-TB,JST,S2B-PH-SM4-TB,,Yes,Bottom SMT,"Verify battery polarity before connection"
17,Connector,J3,1,"24-pin 0.5 mm top-contact FPC",Library:Amphenol_F32Q_ReversePinout,"Amphenol ICC (FCI)",F32Q-1A7H1-11024,,Yes,Bottom SMT,"Local footprint reverses pad numbering for folded display FPC"
