Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,CUI_CMT-8530S-SMT,1,CMT-8530S,CMT-8530S-SMT-TR
"C1, C10, C11, C15, C16, C23, C32, C8",0402,8,100nF,
C12,0603,1,4.7uF,
C13,0402,1,10uF,
"C14, C21, C22, C24, C25, C26, C27, C28, C29",0603,9,1uF 25V,CGA3E1X7R1E105K080AC
"C17, C33, C34",0603,3,10uF,
"C18, C5, C6, C9",0402,4,1uF,
C19,0402,1,680pF C0G,GCM1555C1H681FA16D
C20,0402,1,270pF C0G,GRT1555C1H271FA02D
"C30, C31",0603,2,4.7uF 25V,C1608X5R1E475K080AC
C7,0603,1,22uF,
D1,0402,1,Red Led,QBLP595-R-2897
"D2, D3, D4, D5",D_SOD-123,4,MBR0530,C82046
"D6, D7, D8",D_SOD-523,3,ESD5Z3.3T1G,ESD5Z3.3T1G
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,USB4105-GF-A
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Batt,S2B-PH-SM4-TB
J3,Amphenol_F32Q-1A7x1-11024_1x24-1MP_P0.5mm_Horizontal_RevPinout,1,FPC_24_Epaper_SSD1680,F32Q-1A7H1-11024
L1,L_APV_ANR4030,1,47uH 0.5A,C223059
L2,Coilcraft_MA5532-AE_RFID,1,MA5532-AE,MA5532-AED
Q1,SOT-323_SC-70,1,Si1308EDL,SI1308EDL-T1-BE3
Q2,SOT-23,1,AO3400A,AO3400A
"R1, R2",0402,2,5k1,
"R11, R12, R13, R14, R21, R6, R7, R8, R9",0402,9,10k,
R15,0402,1,2.2R,
"R16, R18, R19",0402,3,1M,
R17,0402,1,10k 1%,
R20,0402,1,100,
"R3, R4",0402,2,4k7,
R5,0402,1,680,
SW1,SW_SPST_EVQP7A,1,RST_BTN,EVQ-P7A01P
SW2,SW_SPST_SKQG_WithStem,1,BTN_LEFT,SKQGABE010
SW3,SW_SPST_SKQG_WithStem,1,BTN_RIGHT,SKQGABE010
SW4,SW_SPST_SKQG_WithStem,1,BTN_MODE,SKQGABE010
SW5,Panasonic_EVQPUM_EVQPUD,1,PWR_BTN,C388885
U1,MLPQ-16-1EP_4x4mm_P0.65mm_EP2.8x2.8mm,1,AS3935,AS3935-BQFT
U2,SOT-666,1,USBLC6-2P6,C15999
U3,SOT-23-5,1,TLV75533PDBV,C404027
U4,ESP32-C6-MINI-1U,1,ESP32-C6-MINI-1,ESP32-C6-MINI-1U-H4
U5,Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm_ThermalVias,1,BQ25186DLHR,BQ25186DLHR
U6,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT40-AD1B-R2,C2909890
