Designator,Mid X,Mid Y,Rotation,Layer
BZ1,112.1,-72.65,270.0,bottom
C1,83.25,-83.8,180.0,bottom
C10,91.165,-69.175,270.0,bottom
C11,94.05,-112.75,180.0,bottom
C12,93.95,-68.975,270.0,bottom
C13,84.85,-67.8,270.0,bottom
C14,92.465,-68.975,270.0,bottom
C15,103.175,-113.175,270.0,bottom
C16,99.48,-113.1,180.0,bottom
C17,86.35,-127.46,180.0,bottom
C18,88.75,-127.21,0.0,bottom
C19,87.98,-65.3,0.0,bottom
C20,87.98,-64.35,0.0,bottom
C21,99.9,-95.9,90.0,bottom
C22,101.4,-95.9,90.0,bottom
C23,97.15,-120.95,0.0,bottom
C24,102.9,-95.9,90.0,bottom
C25,104.6,-95.9,90.0,bottom
C26,106.1,-95.9,90.0,bottom
C27,108.3,-96.7,180.0,bottom
C28,97.6,-96.7,0.0,bottom
C29,103.0,-93.6,0.0,bottom
C30,103.8,-91.25,90.0,bottom
C31,102.768601,-86.559926,270.0,bottom
C32,108.0,-126.0,0.0,bottom
C33,84.95,-125.235,90.0,bottom
C34,113.906771,-79.126829,270.0,bottom
C5,93.35,-121.75,0.0,bottom
C6,95.1,-118.741745,270.0,bottom
C7,114.301301,-126.1,180.0,bottom
C8,114.25,-124.9,180.0,bottom
C9,117.155591,-108.839006,180.0,bottom
D1,93.55,-127.8,0.0,bottom
D2,105.7,-92.0,90.0,bottom
D3,100.7,-91.7,180.0,bottom
D4,108.0,-93.6,270.0,bottom
D5,110.8,-78.869437,0.0,bottom
D6,99.5,-111.9,180.0,bottom
D7,103.35,-111.55,0.0,bottom
D8,94.3,-111.55,180.0,bottom
J1,100.0,-126.175,0.0,bottom
J2,86.48,-118.6,0.0,bottom
J3,100.0,-101.42,0.0,bottom
L1,105.8,-87.3,270.0,bottom
L2,87.925,-61.65,0.0,bottom
Q1,102.1,-89.4,180.0,bottom
Q2,110.420883,-81.75,180.0,bottom
R1,103.5,-120.5,180.0,bottom
R11,102.25,-113.15,90.0,bottom
R12,99.48,-114.05,0.0,bottom
R13,106.5,-125.5,90.0,bottom
R14,88.95,-123.25,270.0,bottom
R15,100.1,-89.4,270.0,bottom
R16,96.75,-90.2,90.0,bottom
R17,87.97,-66.25,180.0,bottom
R18,109.9,-125.0,180.0,bottom
R19,108.0,-125.0,180.0,bottom
R2,98.6,-120.45,90.0,bottom
R20,110.25,-84.4,90.0,bottom
R21,104.55,-115.7,0.0,bottom
R3,91.3,-123.1,180.0,bottom
R4,91.25,-124.5,90.0,bottom
R5,91.65,-127.8,180.0,bottom
R6,104.55,-114.7,180.0,bottom
R7,115.255591,-108.839006,180.0,bottom
R8,94.074037,-113.7,0.0,bottom
R9,90.9,-72.55,0.0,bottom
SW1,115.925,-105.6,270.0,bottom
SW2,90.0,-115.0,270.0,top
SW3,110.0,-115.0,270.0,top
SW4,100.0,-115.0,270.0,top
SW5,116.025,-85.0,90.0,bottom
TP10,88.9,-75.05,0.0,bottom
TP11,87.35,-76.35,0.0,bottom
TP12,90.45,-73.8,0.0,bottom
TP13,110.775,-104.85,0.0,bottom
TP14,109.7,-106.175,0.0,bottom
TP15,110.6,-107.7,0.0,bottom
TP17,88.6,-73.05,0.0,bottom
TP3,85.55,-101.6,0.0,bottom
TP4,85.55,-97.381951,0.0,bottom
TP6,86.6,-107.95,0.0,bottom
TP7,84.5,-107.35,0.0,bottom
TP9,86.95,-74.35,0.0,bottom
U1,87.965,-69.4,270.0,bottom
U2,101.6,-119.4,135.0,bottom
U3,92.85,-119.241745,270.0,bottom
U4,111.35,-117.59,90.0,bottom
U5,87.45,-125.46,180.0,bottom
U6,83.25,-85.45,90.0,bottom
