Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","CMT-8530S","CUI_CMT-8530S-SMT",112.100000,-72.650000,-90.000000,bottom
"C1","100nF","C_0402_1005Metric",83.250000,-83.800000,0.000000,bottom
"C5","1uF","C_0402_1005Metric",93.350000,-121.750000,180.000000,bottom
"C6","1uF","C_0402_1005Metric",95.100000,-118.741745,-90.000000,bottom
"C7","22uF","C_0603_1608Metric",114.301301,-126.100000,0.000000,bottom
"C8","100nF","C_0402_1005Metric",114.250000,-124.900000,0.000000,bottom
"C9","1uF","C_0402_1005Metric",117.155591,-108.839006,0.000000,bottom
"C10","100nF","C_0402_1005Metric",91.165000,-69.175000,-90.000000,bottom
"C11","100nF","C_0402_1005Metric",94.050000,-112.750000,0.000000,bottom
"C12","4.7uF","C_0603_1608Metric",93.950000,-68.975000,-90.000000,bottom
"C13","10uF","C_0402_1005Metric",84.850000,-67.800000,-90.000000,bottom
"C14","1uF 25V","C_0603_1608Metric",92.465000,-68.975000,-90.000000,bottom
"C15","100nF","C_0402_1005Metric",103.175000,-113.175000,-90.000000,bottom
"C16","100nF","C_0402_1005Metric",99.480000,-113.100000,0.000000,bottom
"C17","10uF","C_0603_1608Metric",86.350000,-127.460000,0.000000,bottom
"C18","1uF","C_0402_1005Metric",88.750000,-127.210000,180.000000,bottom
"C19","680pF C0G","C_0402_1005Metric",87.980000,-65.300000,180.000000,bottom
"C20","270pF C0G","C_0402_1005Metric",87.980000,-64.350000,180.000000,bottom
"C21","1uF 25V","C_0603_1608Metric",99.900000,-95.900000,90.000000,bottom
"C22","1uF 25V","C_0603_1608Metric",101.400000,-95.900000,90.000000,bottom
"C23","100nF","C_0402_1005Metric",97.150000,-120.950000,180.000000,bottom
"C24","1uF 25V","C_0603_1608Metric",102.900000,-95.900000,90.000000,bottom
"C25","1uF 25V","C_0603_1608Metric",104.600000,-95.900000,90.000000,bottom
"C26","1uF 25V","C_0603_1608Metric",106.100000,-95.900000,90.000000,bottom
"C27","1uF 25V","C_0603_1608Metric",108.300000,-96.700000,0.000000,bottom
"C28","1uF 25V","C_0603_1608Metric",97.600000,-96.700000,180.000000,bottom
"C29","1uF 25V","C_0603_1608Metric",103.000000,-93.600000,180.000000,bottom
"C30","4.7uF 25V","C_0603_1608Metric",103.800000,-91.250000,90.000000,bottom
"C31","4.7uF 25V","C_0603_1608Metric",102.768601,-86.559926,-90.000000,bottom
"C32","100nF","C_0402_1005Metric",108.000000,-126.000000,180.000000,bottom
"C33","10uF","C_0603_1608Metric",84.950000,-125.235000,90.000000,bottom
"C34","10uF","C_0603_1608Metric",113.906771,-79.126829,-90.000000,bottom
