Designator,Footprint,Quantity,Value,LCSC Part #,
C1,603,1,3.3nF,C1613,
"C10, C11, C15, C17, C2, C3, C57, C59, C7, C8, C9",603,11,100nF,C14663,
"C12, C13",603,2,18pF,C1647,
"C14, C4, C6",603,3,10uF,C96446,
"C51, C55",1206,2,10uF,C9807,
C52,603,1,1u,C5199872,
"C53, C54, C60, C61, C63, C64",1206,6,22uF,C77091,
"C58, C62",603,2,100pF,C14858,
"D1, D6",603,3,LED (BLUE),C965807,
D7,604,,LED (RED),C965799,
D2,D_SMB,1,SS24,C5199113,
D4,D_SOD-523,1,VESD05A1-02V-G3-08,C3703729,
DZ1,D_SOD-123F,1,1N4737,C150760,
DZ2,SOT-23,1,BZX84-C15,C143972,
F1,1206,1,Fuse 3A,C14165,
FB1,603,1,FerriteBead,C275484,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,C7499325,
J10,IPEX_20279-001E-03,1,20279-001E-03,C3173448,
"J14, J8, J9",TerminalBlock_Phoenix_MKDS-1-7-3.81_1x07_P3.81mm_Horizontal,3,Screw_Terminal_01x07,C5143697,not a phoenix connector
J2,CUI_MSD-1-A,1,MSD-1-A,C20619272,
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,C2832269,
J6,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,1,Screw_Terminal_01x02,C89123,
"JP1, JP2, JP3",PinHeader_1x03_P2.54mm_Vertical,3,Jumper_3_Bridged12,C587036,
JP4,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,C32713268,
L1,402,1,0R,C190119,
L4,L_7.3x7.3_H3.5,1,22uH,C3222541,
L5,L_7.3x7.3_H3.5,1,6.8uH,C6091776,
L6,L_7.3x7.3_H3.5,1,10uH,C3221088,
Q1,SOT-23,1,BSS123L,C78755,
Q3,SOT-23,1,DMP3098L,C130884,
"R1, R3",603,2,510R,C113299,
"R10, R11, R13, R16, R37, R42, R5, R6",603,8,10K,C510087,
"R107, R108, R41",603,3,0R,C95177,
R110,603,1,196K,C273761,
R111,603,1,62K,C844379,
R112,603,1,154K,C137794,
R113,603,1,30K,C278614,
R114,603,1,3K,C126358,
"R17, R18",603,2,1K,C22548,
R15,603,1,560R,C144648,
R2,603,1,200K,C728585,
R38,603,1,8.45K,C203864,
R39,603,1,43K,C137719,
"R4, R8, R9",603,3,4.7K,C105428,
R40,603,1,2.2K,C114662,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega1284P-A,C33575,
"U14, U15",SOT-23-6,2,AP63200WU-7,C2071044,
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,C37663,
U4,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593,
U5,SOT-23-6,1,MT3608,C84817,
U6,SOP65P640X120-20N,1,SN74HCT240PWR,C543088,
U9,SOT-23-5,1,SN74LVC1G17,C7836,
X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,11.0592 MHz,C1985383,
