Designator,Mid X,Mid Y,Rotation,Layer
BT2,114.35,-82.37625,90.0,top
C1,107.925,-117.08,270.0,top
C10,169.799999,-84.799997,0.0,top
C11,143.100002,-80.199999,180.0,top
C12,160.5,-73.8,90.0,top
C13,160.5,-77.3,270.0,top
C14,142.5,-62.6,180.0,top
C15,142.5,-60.8,180.0,top
C17,124.5,-111.2,270.0,bottom
C2,110.9,-105.6,90.0,top
C3,122.6,-68.9,270.0,top
C4,120.679996,-68.9,270.0,top
C51,172.220711,-106.135407,270.0,top
C52,138.0,-95.3,90.0,top
C53,157.9,-118.424999,270.0,top
C54,159.6,-105.9,270.0,top
C55,142.750002,-106.324997,270.0,top
C57,179.42071,-106.974999,90.0,top
C58,176.7,-100.8,0.0,top
C59,150.350003,-106.924998,90.0,top
C6,161.000002,-79.9,0.0,top
C60,172.2,-112.8,90.0,top
C61,169.5,-112.8,90.0,top
C62,148.3,-99.8,270.0,top
C63,140.050002,-112.724998,90.0,top
C64,142.75,-112.724998,90.0,top
C7,142.9,-78.299999,0.0,top
C8,151.6,-87.3,270.0,top
C9,152.2,-70.2,90.0,top
D1,162.0,-64.187501,90.0,top
D2,164.15,-105.2,270.0,top
D4,132.6,-95.2,270.0,top
D6,135.5,-71.7,270.0,top
D7,175.35,-93.8125,270.0,top
DZ1,103.625,-117.08,270.0,top
DZ2,152.9,-123.2,90.0,top
F1,151.25,-134.1,90.0,top
FB1,142.975,-76.45,180.0,top
H1,107.0,-55.2,0.0,top
H2,177.0,-55.2,0.0,top
H3,177.0,-135.2,0.0,top
H4,107.0,-135.2,0.0,top
J1,138.05,-58.08,0.0,top
J10,168.1375,-53.6,270.0,top
J14,125.83,-135.7,0.0,top
J2,120.55,-57.85,180.0,top
J4,179.2,-81.09,0.0,top
J6,158.895,-135.75,0.0,top
J8,125.83,-120.7,0.0,top
J9,125.83,-105.7,0.0,top
JP1,161.65,-124.86,0.0,top
JP2,153.639999,-97.7,270.0,top
JP3,166.3,-97.7,90.0,top
JP4,140.805,-70.9,270.0,top
L1,162.8375,-53.6,0.0,top
L4,164.050001,-113.324998,90.0,top
L5,177.7,-113.2,270.0,top
L6,148.050001,-113.124998,270.0,top
Q1,106.825,-112.88,270.0,top
Q3,152.95,-127.1,270.0,top
R1,103.6,-112.725,270.0,top
R10,163.4,-60.9,0.0,top
R107,173.120711,-102.5,0.0,top
R108,143.65,-102.424998,0.0,top
R11,157.0,-128.1,180.0,top
R110,176.720711,-102.5,180.0,top
R111,179.42071,-103.4,90.0,top
R112,146.4,-99.8,90.0,top
R113,150.350002,-103.324998,90.0,top
R114,147.4875,-102.4,180.0,top
R13,169.9,-82.899999,0.0,top
R15,164.1,-64.187501,270.0,top
R16,135.2,-94.4,180.0,top
R17,177.55,-93.8,90.0,top
R18,133.4,-71.7,90.0,top
R2,106.025,-117.08,90.0,top
R3,109.925,-117.08,270.0,top
R37,135.200001,-96.2,0.0,top
R38,155.0,-114.825,90.0,top
R39,153.150001,-111.224998,270.0,top
R4,110.0,-112.825,270.0,top
R40,155.050001,-111.224998,90.0,top
R41,120.144999,-112.540002,180.0,bottom
R42,115.844998,-109.840001,270.0,bottom
R5,158.9,-85.7,0.0,top
R6,132.2,-79.1,90.0,top
R8,136.9,-80.0,0.0,top
R9,136.9,-78.200001,0.0,top
SW1,166.3,-83.899996,90.0,top
U1,152.2,-78.8,90.0,top
U14,175.720711,-106.335405,90.0,top
U15,146.650002,-106.024996,90.0,top
U2,152.1,-58.149999,0.0,top
U3,134.15,-86.655,270.0,top
U4,120.1,-109.8,90.0,bottom
U5,157.850001,-113.324998,90.0,top
U6,106.125001,-105.63,270.0,top
U9,141.3,-95.3,180.0,top
X1,163.7,-75.4,270.0,top
