"TOA5","Potchefstroom","CR1000X","12345","CR1000X.Std.13.02","CPU:StratusDemo.CR1X","51201","WeatherData"
"TIMESTAMP","RECORD","AirTC_Avg","RH","DewPt_Avg","BP_mbar_Avg","WS_ms_Avg","WS_Max","WSpd_Min","WindDir","Wind_Dir_SD1_WVT","SlrW_Avg","SlrMJ_Tot","UV_Index_Avg","Rain_mm_Tot","SoilTC_Avg","VWC_Avg","Visibility_km","PM2_5_Avg","PM10_Avg","Lightning_Tot","LightningDist","LightningEnergy","BattV_Avg","PTemp_C_Avg","MPPT_SolV_Avg","MPPT_SolI_Avg","MPPT_SolP_Avg","MPPT_BatV_Avg","MPPT_LdV_Avg","MPPT_LdI_Avg","SolarCharger_BoardTemp_1_Avg"
"TS","RN","Deg C","%","Deg C","mbar","m/s","m/s","m/s","Deg","Deg","W/m^2","MJ/m^2","index","mm","Deg C","m^3/m^3","km","ug/m^3","ug/m^3","count","km","","V","Deg C","V","A","W","V","V","A","Deg C"
"","","Avg","Smp","Avg","Avg","Avg","Max","Min","Smp","Std","Avg","Tot","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-08-12 04:50:00","1","11.06","98.0","10.76","861.68","1.23","1.96","0.65","55.0","6.9","0.0","0.0000","0.0","0.00","15.48","0.1600","17.9","18.3","37.2","0","NAN","NAN","12.335","11.90","0.00","0.00","0.0","12.335","12.20","0.30","11.93"
"2026-08-12 04:55:00","2","11.04","98.0","10.74","861.81","0.90","1.23","0.65","55.3","17.9","0.0","0.0000","0.0","0.00","15.46","0.1600","23.3","15.5","32.7","0","NAN","NAN","12.345","11.36","0.00","0.00","0.0","12.345","12.28","0.21","12.56"
"2026-08-12 05:00:00","3","11.46","98.0","11.16","861.81","1.73","2.88","1.05","55.6","15.3","0.0","0.0000","0.0","0.00","15.44","0.1600","23.6","13.1","30.8","0","NAN","NAN","12.333","12.51","0.00","0.00","0.0","12.333","12.22","0.14","13.13"
"2026-08-12 05:05:00","4","11.67","98.0","11.37","861.86","1.71","2.52","1.02","55.9","6.3","0.0","0.0000","0.0","0.00","15.42","0.1600","21.0","14.0","33.2","0","NAN","NAN","12.350","12.71","0.00","0.00","0.0","12.350","12.29","0.23","12.87"
"2026-08-12 05:10:00","5","11.75","98.0","11.45","861.86","1.34","2.26","0.70","56.1","6.1","0.0","0.0000","0.0","0.00","15.41","0.1600","19.6","18.1","39.6","0","NAN","NAN","12.346","12.55","0.00","0.00","0.0","12.346","12.27","0.15","12.88"
"2026-08-12 05:15:00","6","11.38","98.0","11.08","862.08","1.41","2.06","1.04","56.4","10.5","0.0","0.0000","0.0","0.00","15.39","0.1600","24.0","14.6","32.7","0","NAN","NAN","12.358","12.08","0.00","0.00","0.0","12.358","12.24","0.25","12.35"
"2026-08-12 05:20:00","7","11.95","98.0","11.65","861.96","1.80","2.49","1.15","56.7","9.8","0.0","0.0000","0.0","0.00","15.38","0.1600","24.0","14.7","31.6","0","NAN","NAN","12.342","13.23","0.00","0.00","0.0","12.342","12.24","0.32","12.72"
"2026-08-12 05:25:00","8","11.93","98.0","11.63","862.01","1.19","1.93","0.59","57.0","14.6","0.0","0.0000","0.0","0.00","15.37","0.1600","20.8","17.1","34.5","0","NAN","NAN","12.332","12.65","0.00","0.00","0.0","12.332","12.24","0.29","13.61"
"2026-08-12 05:30:00","9","12.22","98.0","11.92","862.26","1.39","2.37","0.96","57.3","11.7","0.0","0.0000","0.0","0.00","15.36","0.1600","20.8","15.6","33.9","0","NAN","NAN","12.360","13.29","0.00","0.00","0.0","12.360","12.29","0.22","13.06"
"2026-08-12 05:35:00","10","12.40","98.0","12.10","862.30","1.72","2.81","1.24","57.6","14.8","0.0","0.0000","0.0","0.00","15.35","0.1600","20.6","16.0","33.6","0","NAN","NAN","12.338","13.50","0.00","0.00","0.0","12.338","12.23","0.20","13.86"
"2026-08-12 05:40:00","11","12.52","98.0","12.22","862.37","1.05","1.77","0.60","57.9","10.9","0.0","0.0000","0.0","0.00","15.34","0.1600","23.2","17.2","30.5","0","NAN","NAN","12.351","12.81","0.00","0.00","0.0","12.351","12.27","0.14","13.62"
"2026-08-12 05:45:00","12","12.10","98.0","11.80","862.35","1.07","1.72","0.65","58.1","14.4","0.0","0.0000","0.0","0.00","15.34","0.1600","19.0","18.6","38.9","0","NAN","NAN","12.332","13.48","0.00","0.00","0.0","12.332","12.25","0.13","13.48"
"2026-08-12 05:50:00","13","12.70","98.0","12.40","862.44","1.62","2.67","1.03","58.4","11.6","0.0","0.0000","0.0","0.00","15.34","0.1600","28.2","13.0","24.7","0","NAN","NAN","12.346","13.82","0.00","0.00","0.0","12.346","12.28","0.32","13.85"
"2026-08-12 05:55:00","14","12.88","98.1","12.58","862.52","1.60","2.30","0.86","58.7","7.8","0.0","0.0000","0.0","0.00","15.33","0.1600","20.6","15.6","36.6","0","NAN","NAN","12.354","13.76","0.00","0.00","0.0","12.354","12.28","0.23","14.43"
"2026-08-12 06:00:00","15","12.71","98.0","12.41","862.41","1.76","2.67","1.28","59.0","15.1","0.0","0.0000","0.0","0.00","15.33","0.1600","21.3","15.2","30.9","0","NAN","NAN","12.346","13.42","0.00","0.00","0.0","12.346","12.27","0.13","13.90"
"2026-08-12 06:05:00","16","12.95","98.1","12.65","862.52","1.06","1.48","0.50","59.3","12.8","0.0","0.0000","0.0","0.00","15.33","0.1600","20.8","18.2","36.0","0","NAN","NAN","12.345","13.22","0.00","0.00","0.0","12.345","12.27","0.20","14.45"
"2026-08-12 06:10:00","17","13.35","98.1","13.05","862.40","1.05","1.60","0.57","59.6","12.0","0.0","0.0000","0.0","0.00","15.34","0.1600","17.9","16.0","37.4","0","NAN","NAN","12.354","13.69","0.00","0.00","0.0","12.354","12.26","0.26","14.78"
"2026-08-12 06:15:00","18","13.40","98.1","13.10","862.52","1.49","2.08","0.97","59.9","10.1","0.0","0.0000","0.0","0.00","15.34","0.1600","25.2","14.5","25.7","0","NAN","NAN","12.351","13.65","0.00","0.00","0.0","12.351","12.30","0.20","14.49"
"2026-08-12 06:20:00","19","13.29","98.1","12.99","862.63","1.79","2.80","1.09","60.1","12.8","0.0","0.0000","0.0","0.00","15.34","0.1600","22.6","16.4","34.4","0","NAN","NAN","12.362","13.82","0.00","0.00","0.0","12.362","12.23","0.31","14.19"
"2026-08-12 06:25:00","20","13.37","98.1","13.07","862.68","1.40","2.11","0.74","60.4","15.0","0.0","0.0000","0.0","0.00","15.35","0.1600","20.8","18.0","32.7","0","NAN","NAN","12.341","14.66","0.00","0.00","0.0","12.341","12.28","0.20","14.57"
"2026-08-12 06:30:00","21","13.46","98.1","13.16","862.51","1.39","2.03","1.02","60.7","7.8","0.0","0.0000","0.0","0.00","15.36","0.1600","26.5","13.3","26.5","0","NAN","NAN","12.341","13.66","0.00","0.00","0.0","12.341","12.20","0.26","15.14"
"2026-08-12 06:35:00","22","14.14","93.7","13.14","862.53","1.30","2.09","0.93","61.0","14.6","0.0","0.0000","0.0","0.00","15.37","0.1600","23.2","14.8","32.5","0","NAN","NAN","12.334","15.36","0.00","0.00","0.0","12.334","12.23","0.30","15.36"
"2026-08-12 06:40:00","23","14.35","96.7","13.83","862.62","0.99","1.63","0.70","61.3","12.8","0.0","0.0000","0.0","0.00","15.38","0.1600","26.1","15.0","26.8","0","NAN","NAN","12.334","15.37","0.00","0.00","0.0","12.334","12.26","0.25","15.21"
"2026-08-12 06:45:00","24","14.39","95.6","13.71","862.57","1.30","2.08","0.60","61.5","7.0","0.0","0.0000","0.0","0.00","15.39","0.1600","20.4","17.2","38.9","0","NAN","NAN","12.340","15.72","0.00","0.00","0.0","12.340","12.24","0.27","15.23"
"2026-08-12 06:50:00","25","14.40","91.1","12.96","862.67","1.80","2.67","0.86","61.8","11.5","7.2","0.0022","0.1","0.00","15.41","0.1600","24.3","15.5","27.8","0","NAN","NAN","12.333","15.31","17.56","0.10","1.8","12.333","12.23","0.30","15.88"
"2026-08-12 06:55:00","26","14.57","93.6","13.55","862.82","1.75","2.60","1.01","62.1","10.8","20.4","0.0061","0.2","0.00","15.42","0.1600","25.0","17.1","30.3","0","NAN","NAN","12.331","15.14","17.46","0.00","0.0","12.331","12.26","0.15","16.08"
"2026-08-12 07:00:00","27","15.03","90.5","13.49","862.78","1.51","2.10","0.68","62.4","9.5","33.2","0.0100","0.3","0.00","15.44","0.1600","16.0","16.8","40.3","0","NAN","NAN","12.352","16.11","17.92","0.01","0.2","12.352","12.28","0.24","16.43"
"2026-08-12 07:05:00","28","14.94","89.6","13.24","862.90","1.00","1.73","0.72","62.7","12.3","47.5","0.0142","0.5","0.00","15.46","0.1600","18.4","16.7","38.6","0","NAN","NAN","12.361","15.25","17.66","0.14","2.5","12.361","12.26","0.14","15.79"
"2026-08-12 07:10:00","29","15.08","87.3","12.99","862.70","1.00","1.64","0.52","62.9","10.7","62.7","0.0188","0.6","0.00","15.48","0.1600","20.5","17.0","32.3","0","NAN","NAN","13.552","15.52","17.70","0.29","5.1","13.552","13.47","0.29","16.19"
"2026-08-12 07:15:00","30","15.46","89.8","13.78","862.73","1.42","1.93","1.00","63.2","7.1","78.7","0.0236","0.8","0.00","15.50","0.1600","22.2","15.3","33.5","0","NAN","NAN","13.583","15.90","17.42","0.29","5.1","13.583","13.46","0.28","16.82"
"2026-08-12 07:20:00","31","15.54","89.5","13.81","862.70","1.20","2.09","0.58","63.5","17.2","93.5","0.0280","0.9","0.00","15.53","0.1599","18.1","17.5","38.1","0","NAN","NAN","13.610","16.36","17.55","0.54","9.5","13.610","13.53","0.18","16.75"
"2026-08-12 07:25:00","32","15.84","85.9","13.48","862.96","1.65","2.59","0.88","63.8","8.7","114.6","0.0344","1.2","0.00","15.55","0.1599","22.1","15.3","35.4","0","NAN","NAN","13.643","16.76","17.51","0.45","7.9","13.643","13.55","0.29","17.08"
"2026-08-12 07:30:00","33","15.72","87.4","13.63","862.74","1.47","2.04","0.90","64.1","11.0","123.2","0.0370","1.3","0.00","15.58","0.1599","20.8","14.3","34.0","0","NAN","NAN","13.636","16.95","17.71","0.74","13.1","13.636","13.56","0.24","17.10"
"2026-08-12 07:35:00","34","15.81","85.0","13.29","862.96","1.04","1.67","0.50","64.3","8.8","145.4","0.0436","1.5","0.00","15.60","0.1599","20.6","16.8","38.9","0","NAN","NAN","13.681","16.20","17.97","0.84","15.1","13.681","13.54","0.22","17.50"
"2026-08-12 07:40:00","35","16.26","85.4","13.82","862.92","1.53","2.62","0.92","64.6","10.7","153.9","0.0462","1.6","0.00","15.63","0.1598","18.5","16.1","36.2","0","NAN","NAN","13.657","16.66","18.20","0.64","11.6","13.657","13.53","0.14","17.38"
"2026-08-12 07:45:00","36","16.40","82.7","13.45","862.80","1.75","2.47","1.30","64.9","13.0","174.0","0.0522","1.8","0.00","15.66","0.1598","24.2","14.6","28.2","0","NAN","NAN","13.689","16.70","17.88","0.75","13.4","13.689","13.58","0.18","17.75"
"2026-08-12 07:50:00","37","16.75","84.0","14.02","862.87","1.74","2.61","0.84","65.2","9.4","197.5","0.0592","2.1","0.00","15.69","0.1597","23.5","14.8","27.3","0","NAN","NAN","13.737","17.10","18.03","0.88","15.9","13.737","13.67","0.28","18.07"
"2026-08-12 07:55:00","38","17.00","78.2","13.19","862.92","1.29","1.93","0.90","65.4","7.4","212.4","0.0637","2.2","0.00","15.73","0.1597","21.3","16.0","35.6","0","NAN","NAN","13.751","17.50","18.41","0.90","16.6","13.751","13.67","0.17","18.62"
"2026-08-12 08:00:00","39","17.25","77.7","13.32","862.78","0.96","1.55","0.59","65.7","9.8","228.9","0.0687","2.4","0.00","15.76","0.1597","22.0","15.0","33.8","0","NAN","NAN","13.770","17.81","18.00","1.25","22.5","13.770","13.64","0.23","18.17"
"2026-08-12 08:05:00","40","17.11","79.7","13.58","862.83","0.96","1.30","0.60","66.0","14.6","247.9","0.0744","2.6","0.00","15.80","0.1596","17.9","17.3","39.6","0","NAN","NAN","13.771","18.40","18.45","1.23","22.7","13.771","13.62","0.13","18.47"
"2026-08-12 08:10:00","41","17.27","81.4","14.07","862.72","1.61","2.37","1.12","66.3","17.9","261.6","0.0785","2.8","0.00","15.83","0.1596","23.4","15.0","27.2","0","NAN","NAN","13.790","18.53","18.11","1.17","21.2","13.790","13.73","0.27","18.30"
"2026-08-12 08:15:00","42","17.77","78.7","14.02","862.74","1.22","1.91","0.56","66.5","14.5","263.6","0.0791","2.8","0.00","15.87","0.1595","18.9","18.3","41.4","0","NAN","NAN","13.779","18.71","18.75","1.42","26.6","13.779","13.67","0.25","19.24"
"2026-08-12 08:20:00","43","17.73","74.9","13.22","862.77","1.22","1.97","0.55","66.8","6.4","289.5","0.0869","3.1","0.00","15.91","0.1594","18.4","17.4","38.6","0","NAN","NAN","13.821","18.45","18.11","1.37","24.8","13.821","13.77","0.29","18.78"
"2026-08-12 08:25:00","44","17.84","75.1","13.37","862.64","1.11","1.73","0.57","67.1","12.4","306.3","0.0919","3.3","0.00","15.95","0.1594","21.2","16.9","34.3","0","NAN","NAN","13.834","24.53","18.64","1.38","25.7","13.834","13.78","0.14","23.29"
"2026-08-12 08:30:00","45","18.01","74.2","13.34","862.80","1.27","1.97","0.67","67.3","13.4","317.9","0.0954","3.4","0.00","15.99","0.1593","16.9","16.9","40.3","0","NAN","NAN","13.869","24.51","18.22","1.41","25.7","13.869","13.72","0.23","23.09"
"2026-08-12 08:35:00","46","18.41","71.0","13.07","862.77","1.35","2.29","0.94","67.6","13.2","322.5","0.0967","3.5","0.00","16.04","0.1593","21.5","15.2","30.0","0","NAN","NAN","13.849","25.27","18.84","1.52","28.6","13.849","13.76","0.23","23.53"
"2026-08-12 08:40:00","47","18.77","70.3","13.24","862.58","1.70","2.70","1.18","67.9","17.6","346.3","0.1039","3.7","0.00","16.08","0.1592","19.7","16.1","36.0","0","NAN","NAN","13.894","24.95","18.72","1.74","32.6","13.894","13.84","0.28","24.36"
"2026-08-12 08:45:00","48","18.62","74.1","13.92","862.79","1.71","2.60","1.17","68.1","14.0","363.4","0.1090","3.9","0.00","16.13","0.1591","25.8","14.2","29.2","0","NAN","NAN","13.913","24.85","18.63","1.84","34.3","13.913","13.83","0.24","24.23"
"2026-08-12 08:50:00","49","19.33","66.9","13.03","862.80","1.21","1.99","0.80","68.4","9.2","367.6","0.1103","4.0","0.00","16.17","0.1590","23.5","14.3","27.3","0","NAN","NAN","13.896","26.31","19.10","1.71","32.7","13.896","13.79","0.33","24.74"
"2026-08-12 08:55:00","50","19.52","66.9","13.20","862.67","1.69","2.58","0.90","68.7","6.7","380.0","0.1140","4.1","0.00","16.22","0.1590","19.9","17.2","36.4","0","NAN","NAN","13.938","26.25","18.87","1.76","33.2","13.938","13.83","0.24","25.12"
